Rating,Review,Cuisine,price
4,503,Italian,$31-$60
4.5,527,Italian,$31-$60
4,549,Italian,$31-$60
4.5,581,Italian,$31-$60
4,823,Italian,$31-$60
4,832,Italian,$31-$60
4.5,916,Italian,$31-$60
4.5,921,Italian,$31-$60
4,966,Italian,$31-$60
4.5,1134,Italian,$31-$60
4,1163,Italian,$31-$60
4.5,1223,Italian,$31-$60
4,1250,Italian,$31-$60
4,1697,Italian,$31-$60
4.5,1900,Italian,$31-$60
4.5,43,Italian,over $61
4,65,Italian,over $61
3.5,393,Italian,over $61
4,17,Mexican,under $10
4.5,18,Mexican,under $10
5,18,Mexican,under $10
3.5,19,Mexican,under $10
5,19,Mexican,under $10
5,19,Mexican,under $10
5,21,Mexican,under $10
5,21,Mexican,under $10
4,21,Mexican,under $10
4.5,22,Mexican,under $10
4,155,Mexican,under $10
4,156,Mexican,under $10
3.5,157,Mexican,under $10
4,160,Mexican,under $10
1.5,164,Mexican,under $10
3.5,166,Mexican,under $10
3.5,167,Mexican,under $10
4.5,168,Mexican,under $10
4,174,Mexican,under $10
3.5,174,Mexican,under $10
4,175,Mexican,under $10
4,179,Mexican,under $10
3,181,Mexican,under $10
4.5,183,Mexican,under $10
3.5,188,Mexican,under $10
4.5,189,Mexican,under $10
4.5,192,Mexican,under $10
4,193,Mexican,under $10
3.5,196,Mexican,under $10
4,197,Mexican,under $10
4,197,Mexican,under $10
3.5,202,Mexican,under $10
4.5,207,Mexican,under $10
4,2,Mexican,$11-$30
4,4,Mexican,$11-$30
5,8,Mexican,$11-$30
2.5,8,Mexican,$11-$30
3.5,11,Mexican,$11-$30
4,13,Mexican,$11-$30
4.5,13,Mexican,$11-$30
3,13,Mexican,$11-$30
4.5,18,Mexican,$11-$30
3.5,120,Mexican,$11-$30
3.5,1205,Mexican,$11-$30
3.5,1445,Mexican,$11-$30
3.5,1479,Mexican,$11-$30
3.5,1509,Mexican,$11-$30
3,1751,Mexican,$11-$30
3.5,1803,Mexican,$11-$30
4,2021,Mexican,$11-$30
4.5,5256,Mexican,$11-$30
4,78,Mexican,$31-$60
4,311,Mexican,$31-$60
4,478,Mexican,$31-$60
4.5,683,Mexican,$31-$60
4,966,Mexican,$31-$60
3.5,164,Steakhouse,$11-$30
4,789,Steakhouse,$31-$60
4,795,Steakhouse,$31-$60
4,798,Steakhouse,$31-$60
4,823,Steakhouse,$31-$60
4,832,Steakhouse,$31-$60
4,904,Steakhouse,$31-$60
4.5,916,Steakhouse,$31-$60
4.5,921,Steakhouse,$31-$60
3.5,937,Steakhouse,$31-$60
4.5,1134,Steakhouse,$31-$60
4,1163,Steakhouse,$31-$60
4.5,1223,Steakhouse,$31-$60
4,1250,Steakhouse,$31-$60
4,1697,Steakhouse,$31-$60
4.5,1900,Steakhouse,$31-$60
1.5,4,Steakhouse,over $61
4,65,Steakhouse,over $61
3.5,66,Steakhouse,over $61
4.5,111,Steakhouse,over $61
3.5,220,Steakhouse,over $61
3.5,393,Steakhouse,over $61
4,418,Steakhouse,over $61
4,517,Steakhouse,over $61
