Resturant,Rating,Review,Cuisine,price
 La Holly,4,55,Mexican,$11-$30
 La Catedral Del Marisco,2,55,Mexican,$11-$30
 Las Perlas,4.5,58,Mexican,$11-$30
 Mariscos Los Jarochos,2.5,61,Mexican,$11-$30
 Earl Campbells Food Truck,2.5,63,Mexican,$11-$30
  Rabbits Bar,3.5,79,Mexican,$11-$30
 La Feria Mexican Restaurant,3.5,82,Mexican,$11-$30
 Flavias Kitchen,5,84,Mexican,$11-$30
 Nissi VegMex Vegan Mexican Cuisine,4.5,87,Mexican,$11-$30
 Las Cazuelas Mexican Restaurant,2,89,Mexican,$11-$30
 Texas Ranch BBQ,4.5,91,Mexican,$11-$30
 Las Abuelas,5,109,Mexican,$11-$30
 Los Comales Mexican Restaurant,3.5,120,Mexican,$11-$30
 Iron Cactus Mexican Restaurant and Margarita Bar,3.5,1205,Mexican,$11-$30
 La Condesa,3.5,1445,Mexican,$11-$30
 Matts El Rancho,3.5,1479,Mexican,$11-$30
 Polvos South,3.5,1509,Mexican,$11-$30
 Güeros Taco Bar,3,1751,Mexican,$11-$30
 Hula Hut,3.5,1803,Mexican,$11-$30
 Juan In A Million,4,2021,Mexican,$11-$30
 Franklin Barbecue,4.5,5256,Mexican,$11-$30
 El Naranjo South Lamar,4,78,Mexican,$31-$60
 Comedor,4,311,Mexican,$31-$60
 ATX Cocina,4,478,Mexican,$31-$60
 Suerte,4.5,683,Mexican,$31-$60
 Fonda San Miguel,4,966,Mexican,$31-$60
 Lynx Grill and Bar,3,3,Steakhouse,$11-$30
 Counter Cafe West Campus,3.5,33,Steakhouse,$11-$30
 Hopdoddy Burger Bar,4,40,Steakhouse,$11-$30
 BBGs,3.5,56,Steakhouse,$11-$30
 Johnny Gs Meat Market,4,62,Steakhouse,$11-$30
 Hanovers ,3,67,Steakhouse,$11-$30
 Espadas de Brazil,4.5,72,Steakhouse,$11-$30
Chilis,3,74,Steakhouse,$11-$30
 Applebees Grill  Bar,3,78,Steakhouse,$11-$30
 Saltgrass Steak House,3.5,78,Steakhouse,$11-$30
 Provision  Temp CLOSED,4,83,Steakhouse,$11-$30
 Golden Corral Buffet and Grill,3,85,Steakhouse,$11-$30
 The Aristocrat Lounge,3,95,Steakhouse,$11-$30
 Rustic Tap,3.5,96,Steakhouse,$11-$30
 Goodalls,3.5,103,Steakhouse,$11-$30
 Knotty Deck and Bar,4,109,Steakhouse,$11-$30
 REVUE,4,109,Steakhouse,$11-$30
 Red Robin Gourmet Burgers and Brews,3,110,Steakhouse,$11-$30
 Star Bar,3.5,118,Steakhouse,$11-$30
 The Original Hoffbrau,3.5,144,Steakhouse,$11-$30
 Courtyard by Marriott Austin Downtown Convention Center,3.5,147,Steakhouse,$11-$30
Chilis,2.5,147,Steakhouse,$11-$30
 Central Market Cafe,3,151,Steakhouse,$11-$30
 Red Lobster,3,156,Steakhouse,$11-$30
 LongHorn Steakhouse,3.5,158,Steakhouse,$11-$30
 Backspin Texas Sports Bar and Grill,3.5,164,Steakhouse,$11-$30
 Estancia Brazilian Steakhouse,4,789,Steakhouse,$31-$60
 Wink,4,795,Steakhouse,$31-$60
 Fixe Austins Southern House,4,798,Steakhouse,$31-$60
 Bartletts,4,823,Steakhouse,$31-$60
 Pappadeaux Seafood Kitchen,4,832,Steakhouse,$31-$60
 Fogo De Chao,4,904,Steakhouse,$31-$60
 Red Ash,4.5,916,Steakhouse,$31-$60
 Trulucks Oceans Finest Seafood and Crab,4.5,921,Steakhouse,$31-$60
 Steiner Ranch Steakhouse,3.5,937,Steakhouse,$31-$60
 Barley Swine,4.5,1134,Steakhouse,$31-$60
 Justines Brasserie,4,1163,Steakhouse,$31-$60
 Eddie Vs Prime Seafood,4.5,1223,Steakhouse,$31-$60
 Perrys Steakhouse and Grille Downtown Austin,4,1250,Steakhouse,$31-$60
 Perlas,4,1697,Steakhouse,$31-$60
 Odd Duck,4.5,1900,Steakhouse,$31-$60
 Steakhouse Supply,1.5,4,Steakhouse,over $61
 J Carvers,4,65,Steakhouse,over $61
 Simi Estiatorio,3.5,66,Steakhouse,over $61
 Otoko,4.5,111,Steakhouse,over $61
 The Driskill Grill,3.5,220,Steakhouse,over $61
 Ruths Chris Steak House,3.5,393,Steakhouse,over $61
 Jeffreys,4,418,Steakhouse,over $61
 III Forks,4,517,Steakhouse,over $61
